from,to,relationship,time
AK,sonybmgmusicentertainment,5,2003
AK,worldidol,4,2003
AK,musical,8,2006
AK,annaunddieliebe,8,2008
AK,goldschlager,6,2013
AK,letsdance,1,2014
JS,sonybmgmusicentertainment,5,2003
JS,dassupertalent,4,2012
JS,musicacademykoelnsued,7,2013
DK,dschungelcamp,3,2004
DK,danielderzauberer,8,2004
DK,bigbrother,4,2005
DK,dasperfektepromidinner,4,2010
DK,küblböcktalknight,6,2010
DK,letsdance,4,2014
DK,verrücktnachfluss,8,2016
LH,wildandyoungaward,1,2012
LH,gloryaward,1,2012
LH,bravootto,2,2012
LH,swissmusicaward,1,2013
LH,swissmusicaward,4,2014
LH,nickelodeonkindschoiceawards,1,2013
LH,nickelodeonkindschoiceawards,1,2014
LH,echo,4,2013
LH,styleaward,1,2014
LH,napsterfanpreis,4,2013
LH,bravootto,3,2014
LH,alcatelfanpreis,1,2016
LH,hollywoodmusicinmediaawards,1,2015
LH,prixwalo,1,2013
EE,gecastet,9,2011
EE,musiklehrerin,7,2015
EE,lossmersinge,4,2016
DT,hausfrau,12,NA
PB,luckysong,5,2006
PB,wahrheit,10,2007
PB,bisou,11,2007
PB,himmelundhuhn,10,2007
PB,jimmiblueochsenknecht,11,2008
PB,wilsongonzalezochsenknecht,11,2008
PB,kayone,11,2010
PB,dsds,12,2015
PB,PL,11,2019
TR,straight,10,2007
TR,radiobob,6,2010
TR,kurzunsterblich,10,2010
TR,akustisch,10,2011
TR,besserjetzt,10,2013
TR,gitarrenkurse,7,2013
TR,therockyhorrorshow,8,2014
MLG,tatort,8,2006
MLG,antenneac,12,2009
MLG,flaschensammler,12,2010
MLG,ffn,6,2011
MLG,textilunternehmen,12,2012
VJD,recallstars,10,2008
VJD,merrychristmas,10,2008
MM,letsdance,10,2007
MM,wettendass,12,2007
MM,dreamcatcher,10,2007
MM,ehrlich,9,2007
MM,clouddancer,10,2008
MM,diesingendefirma,12,2008
MM,clubtropicana,10,2009
MM,rainbowsend,10,2010
MM,MMA,10,2010
